code,component_size,material,colour,size,thickness,base_unit,mode,per_pallet,per_box,m2_per_unit,active,note
CH-JOINBLAC-15KG,,Chemical,joint_tec  Pitch Black,bucket,15kg,bucket,mixed,40,0,0,YES,
CH-JOINGREY-15KG,,Chemical,joint_tec   Granite  Grey,bucket,15kg,bucket,mixed,40,0,0,YES,
CH-JOINSAND-15KG,,Chemical,joint_tec Buff Sand,bucket,15kg,bucket,mixed,40,0,0,YES,
CH-PORGREY-125KG,,Chemical,Por_tec  Midnight Grey,bucket,12.5kg,bucket,mixed,40,0,0,YES,
CH-PORIVOR-125KG,,Chemical,Por_tec Ivory,bucket,12.5kg,bucket,mixed,40,0,0,YES,
CH-PORDOVE-125KG,,Chemical,Por_tec  Dove,bucket,12.5kg,bucket,mixed,40,0,0,YES,
CH-PORSTRO-125KG,,Chemical,Por_tec Strom,bucket,12.5kg,bucket,mixed,40,0,0,YES,
CH-PRIMER-15KG,,Chemical,Primer,bucket,15kg,bucket,mixed,40,0,0,YES,
CK-KANDCIRC-22,,Circle,Kandla Grey Circle,2.85,22 mm,slab,fixed,48,0,0.06,YES,
CK-BUFFCIRC-22,,Circle,Buff Circle,2.85,22 mm,slab,fixed,48,0,0.06,YES,
CL-MANDAWAR-600X150-22,,Cladding,Mandawar,600/150,22 mm,pcs,fixed,196,7,0.01,YES,
CL-KANDGREY-600X150-22,,Cladding,Kandla Grey,600/150,22 mm,pcs,fixed,196,7,0.01,YES,
CL-JACKBLAC-600X150-22,,Cladding,Jack Black,600/150,22 mm,pcs,fixed,196,7,0.01,YES,
CL-ROCKMINT-600X150-22,,Cladding,Rock Face Mint,600/150,22 mm,pcs,fixed,196,7,0.01,YES,
ED-TERRGREY-20,,Edging,Terra Grey,100/200,20 mm,slab,fixed,1080,18,0.02,YES,
ED-POLAIVOR-20,,Edging,Polar Ivory,100/200,20 mm,slab,fixed,1080,18,0.02,YES,
GR-BLACGRAN-80,,Granite,Black Granite,200/300,80 mm,slab,fixed,110,0,0.06,YES,
GR-SILVGRAN-50,,Granite,Silver Granite,200/300,50 mm,slab,fixed,160,0,0.06,YES,
GR-BLACCOBB-100,,Granite,black Cobbles,100/100,100 mm,slab,fixed,548,0,0.01,YES,
IN-ASPIANTH-600X300-8,,Indoor,Aspire Anthra,600/300,8 mm,slab,fixed,280,5,0.18,YES,
IN-AROBBROW-600X600-8,,Indoor,Arobic Brown,600/600,8 mm,slab,fixed,160,4,0.36,YES,
IN-EDENASH-600X300-8,,Indoor,Eden Ash,600/300,8 mm,slab,fixed,336,6,0.18,YES,
IN-SANDGRIG-600X300-8,,Indoor,Sand Grigo,600/300,8 mm,slab,fixed,336,6,0.18,YES,
IN-UNIKGRIS-600X300-8,,Indoor,Unika Griss,600/300,8 mm,slab,fixed,336,6,0.18,YES,
IN-CALAMATT-600X1200-9,,Indoor,Calacatta Stone Matt,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
IN-ROTTLIGH-600X1200-9,,Indoor,Rotterdam Light,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
IN-SAINLAWA-600X1200-9,,Indoor,Saint Lawarance,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
IN-ALDOMATT-600X600-9,,Indoor,Aldo Beige Matt,600/600,9 mm,slab,fixed,160,4,0.36,YES,
IN-LOBBSILV-600X1200-9,,Indoor,Lobbies Silver,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
IN-MODESTAT-600X1200-9,,Indoor,Modern Statuario,600/1200,9 mm,slab,fixed,64,2,0.72,YES,
